SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,RewardLevelTaskCode,PenaltyLevelTaskCode
2014,0,0,Loss1_Pen1,49,8.4,8.44864498899551,6.19864498899551,0,0,0
2014,1,0,Loss2_Pen1,50,6,6.01536231499631,4.01536231499631,0,1,0
2014,1,0,Loss2_Pen1,51,6,6.01535272598267,4.26535272598267,0,1,0
2014,1,0,Loss2_Pen1,52,6.8,6.80117457400775,4.55117457400775,0,1,0
2014,0,0,Loss1_Pen1,53,6.8,7.03207910200581,5.03207910200581,0,0,0
2014,1,0,Loss2_Pen1,54,7.6,7.60035355301807,5.10035355301807,0,1,0
2014,1,0,Loss2_Pen1,55,8.4,8.4007113329717,5.6507113329717,0,1,0
2014,1,0,Loss2_Pen1,56,8.4,8.41527690796647,5.66527690796647,0,1,0
2014,0,0,Loss1_Pen1,57,7.6,7.83292477898067,5.33292477898067,0,0,0
2014,0,0,Loss1_Pen1,58,6,6.0012506369967,4.0012506369967,0,0,0
2014,1,0,Loss2_Pen1,59,7.6,7.86531345197,5.36531345197,0,1,0
2014,0,0,Loss1_Pen1,60,7.6,7.64870859601069,5.14870859601069,0,0,0
2014,0,0,Loss1_Pen1,61,6,6.01539338199655,4.26539338199655,0,0,0
2014,1,0,Loss2_Pen1,62,6.8,7.01535589300329,5.01535589300329,0,1,0
2014,0,0,Loss1_Pen1,63,6.8,6.81537592102541,4.81537592102541,0,0,0
2014,0,0,Loss1_Pen1,64,8.4,8.40125579398591,5.40125579398591,0,0,0
2015,1,1,Loss2_Pen2,1,8.4,8.63300316897221,6.63300316897221,0,1,1
2015,0,1,Loss1_Pen2,2,8.4,8.41503715101862,6.66503715101862,0,0,1
2015,0,1,Loss1_Pen2,3,7.6,7.61536248895572,5.86536248895572,0,0,1
2015,0,1,Loss1_Pen2,4,8.4,8.46531488903565,6.46531488903565,0,0,1
2015,1,1,Loss2_Pen2,5,7.6,7.61537511600181,6.11537511600181,0,1,1
2015,0,1,Loss1_Pen2,6,6.8,6.80091869697208,5.55091869697208,0,0,1
2015,0,1,Loss1_Pen2,7,7.6,7.8153743360308,6.0653743360308,0,0,1
2015,1,1,Loss2_Pen2,8,6,6.18214300199179,4.93214300199179,0,1,1
2015,0,1,Loss1_Pen2,9,6,6.0153729050071,4.7653729050071,0,0,1
2015,1,1,Loss2_Pen2,10,6.8,6.80128885502927,5.05128885502927,0,1,1
2015,1,1,Loss2_Pen2,11,8.4,8.63197495200438,6.38197495200438,0,1,1
2015,0,1,Loss1_Pen2,12,6.8,6.96583087998442,5.21583087998442,0,0,1
2015,0,1,Loss1_Pen2,13,6,6.01584452600218,4.76584452600218,0,0,1
2015,1,1,Loss2_Pen2,14,6,6.01540838199435,5.01540838199435,0,1,1
2015,1,1,Loss2_Pen2,15,7.6,7.88196178700309,6.13196178700309,0,1,1
2015,1,1,Loss2_Pen2,16,6.8,6.89901824196568,5.64901824196568,0,1,1
2015,0,0,Loss1_Pen1,17,8.4,8.4820886059897,6.7320886059897,0,0,0
2015,1,0,Loss2_Pen1,18,6.8,6.83184138301294,5.08184138301294,0,1,0
2015,0,0,Loss1_Pen1,19,6,6.01539972802857,5.01539972802857,0,0,0
2015,1,0,Loss2_Pen1,20,8.4,8.41532972198911,6.66532972198911,0,1,0
2015,0,0,Loss1_Pen1,21,6.8,6.81536719796713,5.31536719796713,0,0,0
2015,0,0,Loss1_Pen1,22,7.6,7.61534048098838,5.86534048098838,0,0,0
2015,1,0,Loss2_Pen1,23,6.8,6.81538942002226,5.31538942002226,0,1,0
2015,0,0,Loss1_Pen1,24,8.4,8.68201219895855,6.43201219895855,0,0,0
2015,1,0,Loss2_Pen1,25,7.6,7.60125654499279,5.60125654499279,0,1,0
2015,0,0,Loss1_Pen1,26,6.8,7.04873591999058,5.54873591999058,0,0,0
2015,1,0,Loss2_Pen1,27,6,6.16540008998709,4.66540008998709,0,1,0
2015,1,0,Loss2_Pen1,28,7.6,7.61543346196413,5.61543346196413,0,1,0
2015,0,0,Loss1_Pen1,29,7.6,7.61541750800097,6.11541750800097,0,0,0
2015,0,0,Loss1_Pen1,30,6,6.01544510398526,4.76544510398526,0,0,0
2015,1,0,Loss2_Pen1,31,8.4,8.4819778050296,6.4819778050296,0,1,0
2015,1,0,Loss2_Pen1,32,6,6.01561774802394,5.01561774802394,0,1,0
2015,1,1,Loss2_Pen2,33,6.8,6.98197072499897,5.73197072499897,1,1,0
2015,1,1,Loss2_Pen2,34,6.8,6.81527878902853,5.06527878902853,1,1,0
2015,1,0,Loss2_Pen1,35,7.6,7.6158936219872,5.8658936219872,1,1,1
2015,1,0,Loss2_Pen1,36,6,6.01537553902017,5.01537553902017,0,1,0
2015,1,0,Loss2_Pen1,37,7.6,7.61633994797012,5.86633994797012,1,1,1
2015,1,0,Loss2_Pen1,38,6,6.28197271894896,5.03197271894896,0,1,0
2015,1,1,Loss2_Pen2,39,8.4,8.41533099196386,6.41533099196386,0,1,1
2015,1,1,Loss2_Pen2,40,8.4,8.41531324601965,6.16531324601965,0,1,1
2015,1,0,Loss2_Pen1,41,7.6,7.61642301199026,6.11642301199026,1,1,1
2015,1,1,Loss2_Pen2,42,6.8,6.99861178203719,5.49861178203719,1,1,0
2015,1,1,Loss2_Pen2,43,8.4,8.4152292390354,6.6652292390354,0,1,1
2015,1,0,Loss2_Pen1,44,7.6,7.60124741197797,5.85124741197797,1,1,1
2015,1,1,Loss2_Pen2,45,6.8,6.81631056696642,5.31631056696642,1,1,0
2015,1,0,Loss2_Pen1,46,6,6.01631811395055,4.76631811395055,0,1,0
2015,1,1,Loss2_Pen2,47,8.4,8.40126482199412,6.15126482199412,0,1,1
2015,1,0,Loss2_Pen1,48,6,6.18199239700334,4.68199239700334,0,1,0
2015,0,0,Loss1_Pen1,49,6,6.01543964800658,4.51543964800658,0,0,0
