SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,NumErrorTrials,RewardLevelTaskCode,PenaltyLevelTaskCode
2012,0,1,Rew1_Pen2,73,6.8,6.80114130699803,5.55114130699803,1,0,0,0
2012,0,0,Rew1_Pen1,74,6,6.00115040499804,4.50115040499804,0,0,0,0
2012,0,1,Rew1_Pen2,75,8.4,8.4008388910006,6.4008388910006,0,0,0,1
2012,0,1,Rew1_Pen2,76,6.8,6.80076668699985,5.30076668699985,1,0,0,0
2012,0,0,Rew1_Pen1,77,6,6.00718010499986,4.50718010499986,0,0,0,0
2012,0,1,Rew1_Pen2,78,8.4,8.4326271409991,6.1826271409991,0,0,0,1
2012,0,1,Rew1_Pen2,79,8.4,8.41077600500284,6.41077600500284,0,0,0,1
2012,0,0,Rew1_Pen1,80,6,6.00719018499876,5.25719018499876,0,1,0,0
2012,1,1,Rew2_Pen2,81,8.4,8.49050533500122,6.49050533500122,0,0,1,1
2012,1,0,Rew2_Pen1,82,7.6,7.61087421000047,5.61087421000047,1,0,1,1
2012,1,1,Rew2_Pen2,83,8.4,8.40114118799829,6.65114118799829,0,1,1,1
2012,1,1,Rew2_Pen2,84,8.4,8.40997114900165,6.65997114900165,0,0,1,1
2012,1,1,Rew2_Pen2,85,6.8,6.81073318600102,5.31073318600102,1,0,1,0
2012,1,1,Rew2_Pen2,86,6.8,7.02595093799755,5.52595093799755,1,0,1,0
2012,1,0,Rew2_Pen1,87,6,6.02507593200062,4.27507593200062,0,0,1,0
2012,1,1,Rew2_Pen2,88,8.4,8.40114267099852,6.15114267099852,0,0,1,1
2012,1,0,Rew2_Pen1,89,6,6.15730208999958,4.90730208999958,0,0,1,0
2012,1,0,Rew2_Pen1,90,7.6,7.61560944399753,6.11560944399753,1,0,1,1
2012,1,0,Rew2_Pen1,91,6,6.12382539699684,4.87382539699684,0,0,1,0
2012,1,0,Rew2_Pen1,92,7.6,7.61052776500219,6.11052776500219,1,0,1,1
2012,1,0,Rew2_Pen1,93,7.6,7.60716903799766,5.60716903799766,1,0,1,1
2012,1,1,Rew2_Pen2,94,6.8,6.80707778799842,5.05707778799842,1,0,1,0
2012,1,1,Rew2_Pen2,95,6.8,6.80118110299736,4.80118110299736,1,0,1,0
2012,1,0,Rew2_Pen1,96,6,6.00712741199823,4.25712741199823,0,0,1,0
2012,1,0,Rew2_Pen1,97,8.4,8.40120388800278,5.90120388800278,0,0,1,0
2012,1,0,Rew2_Pen1,98,6.8,6.80837223799972,4.80837223799972,0,1,1,0
2012,1,0,Rew2_Pen1,99,7.6,7.60703490299784,5.85703490299784,0,0,1,0
2012,0,0,Rew1_Pen1,100,8.4,8.40684059100022,6.40684059100022,0,0,0,0
2012,0,0,Rew1_Pen1,101,7.6,7.6103610709979,5.8603610709979,0,0,0,0
2012,0,0,Rew1_Pen1,102,7.6,7.60722256400186,5.60722256400186,0,0,0,0
2012,0,0,Rew1_Pen1,103,6,6.00714437900024,4.50714437900024,0,0,0,0
2012,1,0,Rew2_Pen1,104,6.8,6.80755215599856,5.05755215599856,0,0,1,0
2012,0,0,Rew1_Pen1,105,6.8,6.80120113199882,5.30120113199882,0,1,0,0
2012,1,0,Rew2_Pen1,106,8.4,8.61465854100243,6.36465854100243,0,0,1,0
2012,0,0,Rew1_Pen1,107,6.8,6.80114786099875,5.05114786099875,0,1,0,0
2012,1,0,Rew2_Pen1,108,7.6,7.6065954700025,5.8565954700025,0,0,1,0
2012,0,0,Rew1_Pen1,109,6,6.00114398599908,4.25114398599908,0,0,0,0
2012,1,0,Rew2_Pen1,110,6,6.0065680810003,4.5065680810003,0,0,1,0
2012,1,0,Rew2_Pen1,111,6,6.06547499600129,4.31547499600129,0,0,1,0
2012,0,0,Rew1_Pen1,112,8.4,8.48141066099925,5.98141066099925,0,0,0,0
2012,0,1,Rew1_Pen2,113,6.8,6.80672133600092,4.80672133600092,0,1,0,1
2012,1,1,Rew2_Pen2,114,6,6.03207721899889,4.78207721899889,0,0,1,1
2012,0,1,Rew1_Pen2,115,6.8,6.92375344099855,5.42375344099855,0,0,0,1
2012,1,1,Rew2_Pen2,116,6,6.00115911399917,4.25115911399917,0,0,1,1
2012,1,1,Rew2_Pen2,117,7.6,7.60644148800202,6.10644148800202,0,1,1,1
2012,0,1,Rew1_Pen2,118,7.6,7.61113390099854,5.61113390099854,0,0,0,1
2012,0,1,Rew1_Pen2,119,8.4,8.62379778399918,6.62379778399918,0,1,0,1
2012,1,1,Rew2_Pen2,120,8.4,8.40118681799868,6.40118681799868,0,0,1,1
2012,0,1,Rew1_Pen2,121,7.6,7.60035911600062,5.60035911600062,0,0,0,1
2012,0,1,Rew1_Pen2,122,6,6.07374999300009,4.57374999300009,0,0,0,1
2012,1,1,Rew2_Pen2,123,6.8,6.81043001299986,5.06043001299986,0,0,1,1
2012,1,1,Rew2_Pen2,124,7.6,7.60114450800029,5.60114450800029,0,0,1,1
2012,0,1,Rew1_Pen2,125,6,6.00115831199946,4.25115831199946,0,0,0,1
2012,0,1,Rew1_Pen2,126,8.4,8.40664753800229,6.65664753800229,0,1,0,1
2012,1,1,Rew2_Pen2,127,6.8,6.80120232100307,5.30120232100307,0,1,1,1
2012,1,1,Rew2_Pen2,128,8.4,8.58261230999778,6.33261230999778,0,0,1,1
2013,1,0,Rew2_Pen1,1,7.6,7.61259405201417,5.61259405201417,0,0,1,0
2013,0,0,Rew1_Pen1,2,6.8,6.94368518501869,4.94368518501869,0,1,0,0
2013,1,0,Rew2_Pen1,3,7.6,7.60118208502536,5.60118208502536,0,2,1,0
2013,1,0,Rew2_Pen1,4,6.8,6.97662904899335,4.72662904899335,0,0,1,0
2013,0,0,Rew1_Pen1,5,8.4,8.41097364298184,6.16097364298184,0,2,0,0
2013,0,0,Rew1_Pen1,6,6,6.00118158198893,4.50118158198893,0,1,0,0
2013,1,0,Rew2_Pen1,7,6,6.0065700240084,4.2565700240084,0,0,1,0
2013,0,0,Rew1_Pen1,8,7.6,7.60114966399851,5.85114966399851,0,1,0,0
2013,0,0,Rew1_Pen1,9,6.8,6.91732490400318,5.16732490400318,0,0,0,0
2013,1,0,Rew2_Pen1,10,8.4,8.62742995400913,6.37742995400913,0,0,1,0
2013,1,0,Rew2_Pen1,11,6,6.01086455199402,4.51086455199402,0,2,1,0
2013,0,0,Rew1_Pen1,12,7.6,7.61097498200252,6.36097498200252,0,0,0,0
2013,1,0,Rew2_Pen1,13,6.8,6.80120074201841,5.05120074201841,0,0,1,0
2013,0,0,Rew1_Pen1,14,8.4,8.64290781199816,6.39290781199816,0,0,0,0
2013,1,0,Rew2_Pen1,15,8.4,8.40114921500208,5.90114921500208,0,0,1,0
2013,0,0,Rew1_Pen1,16,6,6.00114539999049,4.25114539999049,0,0,0,0
